{'moisture_value_1': 11100.0, 'moisture_value_2': -84.21052631578948, 'moisture_value_3': 37.5, 'temp_value_1': 65.975, 'temp_value_2': 63.836600000000004, 'temp_value_3': 64.0616, 'time': 'D25M10Y2021H15M52S26'}
{'moisture_value_1': 11100.0, 'moisture_value_2': 73.6842105263158, 'moisture_value_3': 25.0, 'temp_value_1': 65.975, 'temp_value_2': 63.836600000000004, 'temp_value_3': 64.0616, 'time': 'D25M10Y2021H15M52S59'}
{'moisture_value_1': 11100.0, 'moisture_value_2': -42.10526315789474, 'moisture_value_3': 37.5, 'temp_value_1': 65.975, 'temp_value_2': 63.836600000000004, 'temp_value_3': 64.0616, 'time': 'D25M10Y2021H15M53S32'}
{'moisture_value_1': 11100.0, 'moisture_value_2': 89.47368421052632, 'moisture_value_3': 37.5, 'temp_value_1': 65.975, 'temp_value_2': 63.725, 'temp_value_3': 64.0616, 'time': 'D25M10Y2021H15M54S04'}
{'moisture_value_1': 11100.0, 'moisture_value_2': -26.315789473684205, 'moisture_value_3': 37.5, 'temp_value_1': 65.975, 'temp_value_2': 63.725, 'temp_value_3': 64.0616, 'time': 'D25M10Y2021H15M54S37'}
{'moisture_value_1': 11000.0, 'moisture_value_2': -26.315789473684205, 'moisture_value_3': 50.0, 'temp_value_1': 65.86160000000001, 'temp_value_2': 63.725, 'temp_value_3': 63.95, 'time': 'D25M10Y2021H15M55S09'}
{'moisture_value_1': 11100.0, 'moisture_value_2': -26.315789473684205, 'moisture_value_3': 37.5, 'temp_value_1': 65.975, 'temp_value_2': 63.725, 'temp_value_3': 63.95, 'time': 'D25M10Y2021H15M55S42'}
{'moisture_value_1': 11000.0, 'moisture_value_2': 31.578947368421055, 'moisture_value_3': 37.5, 'temp_value_1': 65.86160000000001, 'temp_value_2': 63.6116, 'temp_value_3': 63.95, 'time': 'D25M10Y2021H15M56S15'}
{'moisture_value_1': 11000.0, 'moisture_value_2': 68.42105263157895, 'moisture_value_3': 25.0, 'temp_value_1': 65.86160000000001, 'temp_value_2': 63.6116, 'temp_value_3': 63.95, 'time': 'D25M10Y2021H15M56S47'}
{'moisture_value_1': 11000.0, 'moisture_value_2': 100.0, 'moisture_value_3': 37.5, 'temp_value_1': 65.86160000000001, 'temp_value_2': 63.6116, 'temp_value_3': 63.95, 'time': 'D25M10Y2021H15M57S20'}
{'moisture_value_1': 11000.0, 'moisture_value_2': -36.84210526315789, 'moisture_value_3': 50.0, 'temp_value_1': 65.86160000000001, 'temp_value_2': 63.725, 'temp_value_3': 63.95, 'time': 'D25M10Y2021H15M57S53'}
{'moisture_value_1': 11000.0, 'moisture_value_2': -36.84210526315789, 'moisture_value_3': 50.0, 'temp_value_1': 65.86160000000001, 'temp_value_2': 63.6116, 'temp_value_3': 63.836600000000004, 'time': 'D25M10Y2021H15M58S25'}
{'moisture_value_1': 11000.0, 'moisture_value_2': 47.36842105263158, 'moisture_value_3': 37.5, 'temp_value_1': 65.86160000000001, 'temp_value_2': 63.6116, 'temp_value_3': 63.836600000000004, 'time': 'D25M10Y2021H15M58S58'}
{'moisture_value_1': 11000.0, 'moisture_value_2': 89.47368421052632, 'moisture_value_3': 37.5, 'temp_value_1': 65.86160000000001, 'temp_value_2': 63.6116, 'temp_value_3': 63.836600000000004, 'time': 'D25M10Y2021H15M59S31'}
{'moisture_value_1': 11000.0, 'moisture_value_2': 100.0, 'moisture_value_3': 37.5, 'temp_value_1': 65.86160000000001, 'temp_value_2': 63.6116, 'temp_value_3': 63.836600000000004, 'time': 'D25M10Y2021H16M00S03'}
{'moisture_value_1': 11100.0, 'moisture_value_2': 57.89473684210527, 'moisture_value_3': 37.5, 'temp_value_1': 65.86160000000001, 'temp_value_2': 63.6116, 'temp_value_3': 63.836600000000004, 'time': 'D25M10Y2021H16M00S36'}
